title,link,date,content_snippet
ESDM Ungkap 6 Lokasi Proyek Hilirisasi Batu Bara Pengganti LPG,https://www.cnnindonesia.com/ekonomi/20250618194345-85-1241219/esdm-ungkap-6-lokasi-proyek-hilirisasi-batu-bara-pengganti-lpg,2025-06-18,Kementerian Energi dan Sumber Daya Mineral (ESDM) mengungkapkan 6 lokasi proyek hilirisasi batu bara menjadi dimethyl ether (DME). Proyek ini diklaim bisa menekan impor liquid petroleum gas (LPG).
Bos BPJPH Wanti-wanti Label 'No Pork No Lard' Bukan Penanda Halal,https://www.cnnindonesia.com/ekonomi/20250618193326-92-1241216/bos-bpjph-wanti-wanti-label-no-pork-no-lard-bukan-penanda-halal,2025-06-18,Kepala Badan Penyelenggara Jaminan Produk Halal (BPJPH) Haikal Hasan alias Babe Haikal menegaskan penggunaan label 'no pork no lard' tidak dapat dijadikan sebagai penanda kehalalan suatu produk di Indonesia.
Pendapatan PLN Tembus Rp545 T pada 2024,https://www.cnnindonesia.com/ekonomi/20250618191644-85-1241210/pendapatan-pln-tembus-rp545-t-pada-2024,2025-06-18,"PT PLN (Persero) berhasil mencetak pendapatan sebesar Rp545,4 triliun sepanjang 2024. Angka ini meningkat 11,9 persen secara year on year (yoy) dibanding tahun sebelumnya dan menghasilkan laba bersih mencapai Rp17,76 triliun."
BI Perpanjang Keringanan Bayar Tagihan Kartu Kredit hingga Akhir 2025,https://www.cnnindonesia.com/ekonomi/20250618190742-78-1241207/bi-perpanjang-keringanan-bayar-tagihan-kartu-kredit-hingga-akhir-2025,2025-06-18,"Bank Indonesia (BI) memperpanjang kebijakan keringanan pembayaran tagihan kartu kredit hingga akhir tahun ini, yang semula hanya sampai 30 Juni 2025."
Bapanas Harap MBG Dongkrak Harga Ayam yang Sedang Anjlok,https://www.cnnindonesia.com/ekonomi/20250618185402-92-1241204/bapanas-harap-mbg-dongkrak-harga-ayam-yang-sedang-anjlok,2025-06-18,Badan Pangan Nasional (Bapanas) berharap Makan Bergizi Gratis (MBG) bisa ikut mendongkrak harga ayam yang sedang anjlok hingga Rp25 ribu per kilogram (kg).
Babe Haikal Prediksi Ekspor Produk Halal RI Tembus Rp225 T di 2025,https://www.cnnindonesia.com/ekonomi/20250618184529-92-1241203/babe-haikal-prediksi-ekspor-produk-halal-ri-tembus-rp225-t-di-2025,2025-06-18,"Kepala Badan Penyelenggara Jaminan Produk Halal (BPJPH) Haikal Hasan alias Babe Haikal memproyeksikan nilai ekspor produk halal Indonesia dapat menembus US$13,8 miliar atau setara Rp225,66 triliun (asumsi kurs Rp16.352 per dolar AS) pada 2025."
"Harga Ayam Anjlok, Kementan Naikkan HPP Jadi Rp18 Ribu per Kg",https://www.cnnindonesia.com/ekonomi/20250618182853-92-1241200/harga-ayam-anjlok-kementan-naikkan-hpp-jadi-rp18-ribu-per-kg,2025-06-18,Kementerian Pertanian (Kementan) menetapkan harga pokok produksi (HPP) ayam hidup Rp18 ribu per kilogram (kg) setelah harga ayam anjlok di pasaran.
ESDM akan Temui Gubernur NTT Bahas Proyek Geothermal yang Tuai Polemik,https://www.cnnindonesia.com/ekonomi/20250619163844-85-1241592/esdm-akan-temui-gubernur-ntt-bahas-proyek-geothermal-yang-tuai-polemik,2025-06-19,Direktur Jenderal Energi Baru Terbarukan dan Konservasi Energi (EBTKE) Kementerian ESDM Eniya Listiani Dewi bakal menemui gubernur Nusa Tenggara Timur (NTT) untuk membahas pembangunan proyek geothermal di wilayah tersebut yang menuai protes dari berbagai pihak.
KAI Tebar Diskon 20 Persen di Jakarta Fair 2025,https://www.cnnindonesia.com/ekonomi/20250619194639-92-1241654/kai-tebar-diskon-20-persen-di-jakarta-fair-2025,2025-06-19,PT Kereta Api Indonesia (Persero) atau KAI memberikan diskon 20 persen untuk perjalanan kelas eksekutif dan bisnis selama gelaran Jakarta Fair Kemayoran 2025.
Pulau Citlim Kepulauan Riau Dijarah Tambang Ilegal,https://www.cnnindonesia.com/ekonomi/20250619130035-85-1241444/pulau-citlim-kepulauan-riau-dijarah-tambang-ilegal,2025-06-19,"Pulau Citlim di Kecamatan Sugie Besar, Kabupaten Karimun, Provinsi Kepulauan Riau, ditemukan mengalami kerusakan ekosistem akibat aktivitas tambang ilegal."
Wamen Investasi Klaim Preman Pengganggu Investasi Turun,https://www.cnnindonesia.com/ekonomi/20250619142020-92-1241490/wamen-investasi-klaim-preman-pengganggu-investasi-turun,2025-06-19,Wakil Menteri (Wamen) Investasi dan Hilirisasi/Wakil Kepala Badan Koordinasi Penanaman Modal (BKPM) Todotua Pasaribu menyebut kasus preman yang mengganggu para investor telah jauh menurun.
Merger Grab-GoTo Disebut Terganjal Aturan Pemerintah,https://www.cnnindonesia.com/ekonomi/20250619190625-92-1241643/merger-grab-goto-disebut-terganjal-aturan-pemerintah,2025-06-19,"Rencana Grab Holdings Ltd, perusahaan teknologi berbasis di Singapura, untuk mengakuisisi PT GoTo Gojek Tokopedia Tbk dikabarkan menemui kendala regulasi dari pemerintah Indonesia."
"Menperin Resmikan Pabrik Panel Surya Terbesar RI Senilai Rp1,5 T",https://www.cnnindonesia.com/ekonomi/20250619150138-92-1241512/menperin-resmikan-pabrik-panel-surya-terbesar-ri-senilai-rp15-t,2025-06-19,"Menteri Perindustrian Agus Gumiwang Kartasasmita meresmikan pembukaan pabrik sel surya dan modul surya terintegrasi pertama dan terbesar di Indonesia, di Kendal, Jawa Tengah."
"Bank Sentral Swiss Pangkas Suku Bunga Jadi 0%, Ekonomi Global Suram?",https://www.cnnindonesia.com/ekonomi/20250619183750-78-1241632/bank-sentral-swiss-pangkas-suku-bunga-jadi-0-ekonomi-global-suram,2025-06-19,Bank Nasional Swiss (SNB) memangkas suku bunga acuan menjadi nol persen pada Kamis (19/7).
"Pertamina Akuisisi 20% Saham Perusahaan EBT Filipina Senilai Rp1,96 T",https://www.cnnindonesia.com/ekonomi/20250619142835-85-1241492/pertamina-akuisisi-20-saham-perusahaan-ebt-filipina-senilai-rp196-t,2025-06-19,"Pertamina New & Renewable Energy (Pertamina NRE) mengakuisisi 20 persen saham perusahaan energi terbarukan asal Filipina, Citicore Renewable Energy Corporation (CREC)."
